drug_name_clean,COUNTY,STATE,COUNTY_CODE,median_cost,num_prices
Adalimumab,Caldwell,LA,19100,3497.2695,993
Adalimumab,Caldwell,MO,26120,3597.1501,846
Adalimumab,Caldwell,NC,34130,3497.1264,1532
Adalimumab,Caldwell,TX,45223,3497.2695,1385
Adalimumab,Caledonia,VT,47020,3497.4004,750
Adalimumab,Calhoun,AL,01070,3497.2695,1134
Adalimumab,Calhoun,AR,04060,3497.2695,1299
Adalimumab,Calhoun,FL,10060,3482.44085,936
Adalimumab,Calhoun,GA,11161,3497.4004,1010
Adalimumab,Calhoun,IL,14060,3488.726,1002
Adalimumab,Calhoun,IA,16120,3497.4004,817
Adalimumab,Calhoun,MI,23120,3421.9999,1541
Adalimumab,Calhoun,MS,25060,3497.4004,988
Adalimumab,Calhoun,SC,42080,3497.2695,1329
Adalimumab,Calhoun,TX,45224,3497.2695,915
Adalimumab,Calhoun,WV,51060,3497.2695,1148
Adalimumab,Callahan,TX,45230,3497.2695,682
Adalimumab,Callaway,MO,26130,3560.0146,1051
Adalimumab,Calloway,KY,18170,3497.2695,1178
Adalimumab,Calumet,WI,52070,3497.2695,1091
Adalimumab,Calvert,MD,21040,3497.2695,686
Adalimumab,Camas,ID,13120,3497.2695,584
Adalimumab,Cambria,PA,39160,3497.2695,1621
Adalimumab,Camden,GA,11170,3497.3996500000003,1154
Adalimumab,Camden,MO,26140,3560.0146,1011
Adalimumab,Camden,NJ,31160,3497.2695,1324
Adalimumab,Camden,NC,34140,3497.1264,1002
Adalimumab,Cameron,LA,19110,3497.2695,1116
Adalimumab,Cameron,PA,39180,3497.2695,1720
Adalimumab,Cameron,TX,45240,3497.268,1495
Adalimumab,Camp,TX,45250,3497.2695,1047
Adalimumab,Campbell,KY,18180,3497.2695,1428
Adalimumab,Campbell,SD,43100,3488.726,744
Adalimumab,Campbell,TN,44060,3497.2695,1168
Adalimumab,Campbell,VA,49150,3598.6173,1183
Adalimumab,Campbell,WY,53020,3497.2695,546
Adalimumab,Camuy,PR,40140,3520.6773,1027
Adalimumab,Camuy,NA,40140,3540.87005,160
Adalimumab,Canadian,OK,37080,3497.2695,1339
Adalimumab,Candler,GA,11180,3497.2695,1283
Adalimumab,Cannon,TN,44070,3497.2695,1291
Adalimumab,Canovanas,PR,40145,3520.6773,950
Adalimumab,Canovanas,NA,40145,3540.87005,160
Adalimumab,Canyon,ID,13130,3497.2695,1089
Adalimumab,Cape Girardeau,MO,26150,3582.0436499999996,780
Adalimumab,Cape May,NJ,31180,3482.4342,1127
Adalimumab,Capitol,CT,07010,3568.0618,1394
Adalimumab,Capitol,CT,07060,3568.0704,1233
Adalimumab,Carbon,MT,27040,3476.9952,791
Adalimumab,Carbon,PA,39190,3497.2695,1893
Adalimumab,Carbon,UT,46030,3512.1882,616
Adalimumab,Carbon,WY,53030,3497.2695,488
Adalimumab,Caribou,ID,13140,3482.4342,466
Adalimumab,Carlisle,KY,18190,3497.2695,1151
Adalimumab,Carlton,MN,24080,3487.4709,1129
Adalimumab,Carolina,PR,40150,3520.6773,950
Adalimumab,Carolina,NA,40150,3540.87005,160
Adalimumab,Caroline,MD,21050,3497.2695,616
Adalimumab,Caroline,VA,49160,3589.8162,1186
Adalimumab,Carroll,AR,04070,3497.2695,1456
Adalimumab,Carroll,GA,11190,3476.9952,1290
Adalimumab,Carroll,IL,14070,3476.9952,1063
Adalimumab,Carroll,IN,15070,3559.0488,1254
Adalimumab,Carroll,IA,16130,3497.4004,817
Adalimumab,Carroll,KY,18191,3497.2695,1281
Adalimumab,Carroll,MD,21060,3497.2695,907
Adalimumab,Carroll,MS,25070,3497.2695,1028
Adalimumab,Carroll,MO,26160,3585.7398,957
Adalimumab,Carroll,NH,30010,3497.3342000000002,940
Adalimumab,Carroll,OH,36090,3497.2695,1992
Adalimumab,Carroll,TN,44080,3497.268,1209
Adalimumab,Carroll,VA,49170,3589.8205,1115
Adalimumab,Carson,TX,45251,3497.2695,845
Adalimumab,Carson City,NV,29120,3468.25,983
Adalimumab,Carter,KY,18210,3497.2695,1229
Adalimumab,Carter,MO,26170,3585.7398,809
Adalimumab,Carter,MT,27050,3497.2695,507
Adalimumab,Carter,OK,37090,3497.2695,1014
Adalimumab,Carter,TN,44090,3497.2695,1102
Adalimumab,Carteret,NC,34150,3497.2695,585
Adalimumab,Carver,MN,24090,3488.726,1296
Adalimumab,Cascade,MT,27060,3399.0162,734
Adalimumab,Casey,KY,18220,3497.2695,1203
Adalimumab,Cass,IL,14080,3476.9952,1025
Adalimumab,Cass,IN,15080,3530.3785,1241
Adalimumab,Cass,IA,16140,3497.4004,771
Adalimumab,Cass,MI,23130,3435.0177,1303
Adalimumab,Cass,MN,24100,3487.4709,1061
Adalimumab,Cass,MO,26180,3501.0174,1167
Adalimumab,Cass,NE,28120,3497.2695,1064
Adalimumab,Cass,ND,35080,3497.2695,930
Adalimumab,Cass,TX,45260,3497.2695,1100
Adalimumab,Cassia,ID,13150,3497.2695,659
Adalimumab,Castro,TX,45270,3497.2695,921
Adalimumab,Caswell,NC,34160,3497.2695,1420
Adalimumab,Catahoula,LA,19120,3497.2695,1006
Adalimumab,Catano,PR,40160,3520.6773,950
Adalimumab,Catano,NA,40160,3540.87005,160
Adalimumab,Catawba,NC,34170,3497.2695,1731
Adalimumab,Catoosa,GA,11200,3497.2695,1390
Adalimumab,Catron,NM,32010,3482.4475,760
Adalimumab,Cattaraugus,NY,33040,3497.4004,1415
Adalimumab,Cavalier,ND,35090,3417.205,639
Adalimumab,Cayey,PR,40170,3520.6773,937
Adalimumab,Cayey,NA,40170,3540.87005,160
Adalimumab,Cayuga,NY,33050,3497.2695,1090
Adalimumab,Cecil,MD,21070,3497.2695,590
